SITE	BESTPROB	takifugu_rubripes1	takifugu_rubripes2	tetraodon_nigroviridis1	tetraodon_nigroviridis2	gasterosteus_aculeatus1	gasterosteus_aculeatus2	xiphophorus_maculatus1	xiphophorus_maculatus2	oryzias_latipes1	oryzias_latipes2	oreochromis_niloticus1	oreochromis_niloticus2	danio_rerio1	danio_rerio2	astyanax_mexicanus1	astyanax_mexicanus2
1583	0.884855	NONE	ENSTRUG00000015512	NONE	ENSTNIG00000014723	NONE	ENSGACG00000001466	NONE	ENSXMAG00000015416	NONE	ENSORLG00000020069	NONE	ENSONIG00000004221	NONE	ENSDARG00000028396	NONE	ENSAMXG00000002298
1584	0.846463	NONE	ENSTRUG00000015578	ENSTNIG00000014712	ENSTNIG00000014725	NONE	ENSGACG00000001437	NONE	ENSXMAG00000015285	ENSORLG00000001859	ENSORLG00000020091	NONE	ENSONIG00000004210	NONE	ENSDARG00000068372	NONE	ENSAMXG00000002330
1585	0.884897	ENSTRUG00000000387	NONE	ENSTNIG00000014253	NONE	ENSGACG00000011629	NONE	ENSXMAG00000007842	NONE	ENSORLG00000010156	NONE	ENSONIG00000003101	NONE	ENSDARG00000070677	NONE	ENSAMXG00000015825	NONE
1586	0.821765	ENSTRUG00000000340	ENSTRUG00000003536	ENSTNIG00000014254	ENSTNIG00000014728	NONE	ENSGACG00000001382	ENSXMAG00000007808	NONE	ENSORLG00000010190	ENSORLG00000020175	ENSONIG00000003092	ENSONIG00000004194	ENSDARG00000043661	NONE	ENSAMXG00000014950	NONE
1587	0.857456	ENSTRUG00000013681	NONE	ENSTNIG00000014691	NONE	ENSGACG00000001565	NONE	ENSXMAG00000017131	NONE	ENSORLG00000002341	NONE	ENSONIG00000014480	NONE	ENSDARG00000105178	NONE	ENSAMXG00000013854	NONE
1588	0.855523	ENSTRUG00000013807	NONE	ENSTNIG00000014692	NONE	ENSGACG00000001561	ENSGACG00000005627	ENSXMAG00000017160	ENSXMAG00000019376	ENSORLG00000002312	ENSORLG00000002686	ENSONIG00000014474	NONE	ENSDARG00000079161	NONE	ENSAMXG00000013833	ENSAMXG00000014896
1589	0.857801	ENSTRUG00000013867	NONE	ENSTNIG00000014693	NONE	ENSGACG00000001560	NONE	ENSXMAG00000017166	NONE	ENSORLG00000002293	NONE	ENSONIG00000014472	NONE	ENSDARG00000063051	NONE	ENSAMXG00000013817	NONE
1590	0.842728	ENSTRUG00000013962	ENSTRUG00000011066	ENSTNIG00000014694	NONE	ENSGACG00000001558	ENSGACG00000005642	ENSXMAG00000017182	ENSXMAG00000019370	ENSORLG00000002276	ENSORLG00000002714	ENSONIG00000014468	NONE	ENSDARG00000063031	NONE	ENSAMXG00000013807	ENSAMXG00000014892
1591	0.700836	ENSTRUG00000014121	ENSTRUG00000013499	ENSTNIG00000014697	NONE	ENSGACG00000001554	ENSGACG00000001292	ENSXMAG00000017221	ENSXMAG00000016874	ENSORLG00000003718	NONE	ENSONIG00000014464	ENSONIG00000003977	ENSDARG00000025340	ENSDARG00000099817	ENSAMXG00000013757	ENSAMXG00000016839
1592	0.816321	ENSTRUG00000014130	NONE	ENSTNIG00000014698	NONE	ENSGACG00000001553	ENSGACG00000001294	ENSXMAG00000002520	NONE	NONE	ENSORLG00000002235	NONE	ENSONIG00000003978	ENSDARG00000062997	ENSDARG00000059931	ENSAMXG00000013744	ENSAMXG00000016859
1593	0.843795	ENSTRUG00000014178	NONE	ENSTNIG00000014699	NONE	ENSGACG00000001552	NONE	ENSXMAG00000017231	NONE	ENSORLG00000003645	NONE	ENSONIG00000014461	NONE	ENSDARG00000058367	NONE	ENSAMXG00000013729	NONE
1594	0.859019	ENSTRUG00000014223	NONE	ENSTNIG00000014700	NONE	ENSGACG00000001544	NONE	ENSXMAG00000017241	NONE	ENSORLG00000002219	NONE	ENSONIG00000014456	NONE	ENSDARG00000038475	NONE	ENSAMXG00000013712	NONE
1595	0.858453	ENSTRUG00000014312	ENSTRUG00000012769	ENSTNIG00000014701	ENSTNIG00000014763	ENSGACG00000001540	NONE	ENSXMAG00000017268	ENSXMAG00000016776	ENSORLG00000002164	ENSORLG00000003682	ENSONIG00000014444	ENSONIG00000003980	NONE	ENSDARG00000103390	ENSAMXG00000013697	ENSAMXG00000007470
1596	0.859125	ENSTRUG00000014890	NONE	ENSTNIG00000014705	NONE	ENSGACG00000001520	NONE	ENSXMAG00000017369	NONE	ENSORLG00000001927	NONE	ENSONIG00000014438	NONE	ENSDARG00000075209	NONE	ENSAMXG00000002237	NONE
1597	0.851529	ENSTRUG00000014905	NONE	ENSTNIG00000014706	NONE	ENSGACG00000001516	NONE	ENSXMAG00000017380	NONE	ENSORLG00000001917	NONE	ENSONIG00000014429	ENSONIG00000012458	ENSDARG00000054127	NONE	ENSAMXG00000002235	NONE
1598	0.859073	ENSTRUG00000017696	NONE	ENSTNIG00000010923	NONE	ENSGACG00000005550	NONE	ENSXMAG00000019386	NONE	ENSORLG00000002532	NONE	ENSONIG00000006621	NONE	ENSDARG00000053138	NONE	ENSAMXG00000019796	NONE
1599	0.859106	NONE	ENSTRUG00000012252	NONE	ENSTNIG00000014761	NONE	ENSGACG00000001303	NONE	ENSXMAG00000016740	NONE	ENSORLG00000003636	NONE	ENSONIG00000003998	NONE	ENSDARG00000103308	NONE	ENSAMXG00000007792
1600	0.858996	ENSTRUG00000017679	NONE	ENSTNIG00000010920	NONE	ENSGACG00000005516	NONE	ENSXMAG00000005169	NONE	ENSORLG00000019317	NONE	ENSONIG00000006615	NONE	ENSDARG00000009748	NONE	ENSAMXG00000019717	NONE
1601	0.353915	ENSTRUG00000000699	ENSTRUG00000012118	ENSTNIG00000010911	ENSTNIG00000014759	ENSGACG00000005452	ENSGACG00000012145	ENSXMAG00000019391	ENSXMAG00000016725	ENSORLG00000006403	NONE	ENSONIG00000006594	ENSONIG00000004022	ENSDARG00000090454	NONE	ENSAMXG00000014987	ENSAMXG00000008035
1602	0.85905	NONE	ENSTRUG00000012361	NONE	ENSTNIG00000014976	NONE	ENSGACG00000001943	NONE	ENSXMAG00000013426	NONE	ENSORLG00000010986	NONE	ENSONIG00000006806	NONE	ENSDARG00000040985	NONE	ENSAMXG00000002270
1603	0.859127	NONE	ENSTRUG00000011988	NONE	ENSTNIG00000014978	NONE	ENSGACG00000001904	NONE	ENSXMAG00000013374	NONE	ENSORLG00000011103	NONE	ENSONIG00000006791	NONE	ENSDARG00000020447	NONE	ENSAMXG00000002316
1604	0.859049	NONE	ENSTRUG00000011863	NONE	ENSTNIG00000014979	NONE	ENSGACG00000001901	NONE	ENSXMAG00000010995	NONE	ENSORLG00000011117	NONE	ENSONIG00000006788	ENSDARG00000037178	ENSDARG00000015554	NONE	ENSAMXG00000002320
1605	0.859128	NONE	ENSTRUG00000011797	NONE	ENSTNIG00000014980	NONE	ENSGACG00000001900	NONE	ENSXMAG00000010996	NONE	ENSORLG00000011124	NONE	ENSONIG00000006787	NONE	ENSDARG00000016022	NONE	ENSAMXG00000002323
1606	0.859128	NONE	ENSTRUG00000011614	NONE	ENSTNIG00000000477	NONE	ENSGACG00000001895	NONE	ENSXMAG00000011000	NONE	ENSORLG00000011155	NONE	ENSONIG00000006781	NONE	ENSDARG00000079522	NONE	ENSAMXG00000026068
1607	0.859126	ENSTRUG00000000769	NONE	ENSTNIG00000010910	NONE	ENSGACG00000005446	NONE	ENSXMAG00000019390	NONE	ENSORLG00000020149	NONE	ENSONIG00000006592	NONE	ENSDARG00000098313	NONE	ENSAMXG00000015238	NONE
1608	0.858752	NONE	ENSTRUG00000011516	NONE	ENSTNIG00000014982	NONE	ENSGACG00000001893	NONE	ENSXMAG00000019925	NONE	ENSORLG00000011185	NONE	ENSONIG00000020485	ENSDARG00000074302	ENSDARG00000010317	ENSAMXG00000025031	ENSAMXG00000026069
1609	0.858505	NONE	ENSTRUG00000011286	NONE	ENSTNIG00000014984	NONE	ENSGACG00000001886	NONE	ENSXMAG00000011002	NONE	ENSORLG00000011206	ENSONIG00000000568	ENSONIG00000006767	ENSDARG00000003142	ENSDARG00000069440	ENSAMXG00000000577	ENSAMXG00000002332
1610	0.858587	NONE	ENSTRUG00000011202	NONE	ENSTNIG00000014986	NONE	ENSGACG00000001883	NONE	ENSXMAG00000011014	NONE	ENSORLG00000011224	NONE	ENSONIG00000006765	ENSDARG00000015312	ENSDARG00000032197	ENSAMXG00000024497	ENSAMXG00000002340
1611	0.858797	NONE	ENSTRUG00000011039	NONE	ENSTNIG00000014987	NONE	ENSGACG00000001878	NONE	ENSXMAG00000011020	NONE	ENSORLG00000011311	NONE	ENSONIG00000006762	NONE	ENSDARG00000075156	NONE	ENSAMXG00000002349
1612	0.850463	NONE	ENSTRUG00000010608	NONE	ENSTNIG00000014991	NONE	ENSGACG00000001829	NONE	ENSXMAG00000019927	NONE	ENSORLG00000011364	NONE	ENSONIG00000020484	NONE	ENSDARG00000069843	NONE	ENSAMXG00000025150
1613	0.843454	NONE	ENSTRUG00000010567	NONE	ENSTNIG00000014992	NONE	ENSGACG00000001816	ENSXMAG00000009409	ENSXMAG00000011074	NONE	ENSORLG00000011373	ENSONIG00000017876	ENSONIG00000006747	NONE	ENSDARG00000069844	ENSAMXG00000013886	ENSAMXG00000017431
1614	0.835441	NONE	ENSTRUG00000010520	NONE	ENSTNIG00000014993	NONE	ENSGACG00000001804	ENSXMAG00000009413	ENSXMAG00000011079	NONE	ENSORLG00000011380	ENSONIG00000017872	ENSONIG00000006744	NONE	ENSDARG00000069846	ENSAMXG00000013875	ENSAMXG00000017421
1615	0.858984	NONE	ENSTRUG00000010519	NONE	ENSTNIG00000014994	NONE	ENSGACG00000001800	NONE	ENSXMAG00000011083	NONE	ENSORLG00000011393	NONE	ENSONIG00000006742	NONE	ENSDARG00000076339	NONE	ENSAMXG00000016926
1616	0.429499	NONE	ENSTRUG00000010459	ENSTNIG00000014996	ENSTNIG00000014995	NONE	ENSGACG00000001792	NONE	ENSXMAG00000011086	NONE	ENSORLG00000011408	NONE	ENSONIG00000006740	NONE	ENSDARG00000103505	ENSAMXG00000013375	ENSAMXG00000016934
1617	0.859112	NONE	ENSTRUG00000010000	NONE	ENSTNIG00000014997	NONE	ENSGACG00000001746	NONE	ENSXMAG00000011093	NONE	ENSORLG00000011491	NONE	ENSONIG00000006728	NONE	ENSDARG00000001220	NONE	ENSAMXG00000016952
1618	0.859128	NONE	ENSTRUG00000009978	NONE	ENSTNIG00000014999	NONE	ENSGACG00000001734	NONE	ENSXMAG00000011170	NONE	ENSORLG00000011534	NONE	ENSONIG00000020483	NONE	ENSDARG00000078001	NONE	ENSAMXG00000017004
1619	0.859128	ENSTRUG00000015747	NONE	ENSTNIG00000011393	NONE	ENSGACG00000019914	NONE	ENSXMAG00000017594	NONE	ENSORLG00000016174	NONE	ENSONIG00000000081	NONE	ENSDARG00000040610	NONE	ENSAMXG00000000589	NONE
1620	0.859128	ENSTRUG00000015839	NONE	ENSTNIG00000011394	NONE	ENSGACG00000019929	NONE	ENSXMAG00000017650	NONE	ENSORLG00000016140	NONE	ENSONIG00000000082	NONE	ENSDARG00000003200	NONE	ENSAMXG00000000592	NONE
1621	0.859051	NONE	ENSTRUG00000009903	NONE	ENSTNIG00000015000	NONE	ENSGACG00000001725	NONE	ENSXMAG00000011171	NONE	ENSORLG00000011547	NONE	ENSONIG00000006715	NONE	ENSDARG00000003257	NONE	ENSAMXG00000017031
1622	0.853652	NONE	ENSTRUG00000009430	NONE	ENSTNIG00000003388	NONE	ENSGACG00000007809	NONE	ENSXMAG00000011128	NONE	ENSORLG00000011195	NONE	ENSONIG00000016745	NONE	ENSDARG00000102442	NONE	ENSAMXG00000011581
1623	0.458376	ENSTRUG00000015873	NONE	NONE	ENSTNIG00000011395	ENSGACG00000019934	NONE	ENSXMAG00000017658	NONE	ENSORLG00000016129	NONE	ENSONIG00000000084	NONE	ENSDARG00000063672	NONE	ENSAMXG00000012132	NONE
1624	0.859078	NONE	ENSTRUG00000009438	NONE	ENSTNIG00000005603	NONE	ENSGACG00000007795	NONE	ENSXMAG00000011097	NONE	ENSORLG00000011228	NONE	ENSONIG00000016738	NONE	ENSDARG00000104222	NONE	ENSAMXG00000011596
1625	0.859128	ENSTRUG00000015924	NONE	ENSTNIG00000011396	NONE	ENSGACG00000019945	NONE	ENSXMAG00000017686	NONE	ENSORLG00000016099	NONE	ENSONIG00000000086	NONE	ENSDARG00000102340	NONE	ENSAMXG00000013758	NONE
1626	0.859128	ENSTRUG00000015946	NONE	ENSTNIG00000011397	NONE	ENSGACG00000019948	NONE	ENSXMAG00000017689	NONE	ENSORLG00000016091	NONE	ENSONIG00000020697	NONE	ENSDARG00000098612	NONE	ENSAMXG00000026486	NONE
1627	0.859128	ENSTRUG00000016548	NONE	ENSTNIG00000015932	NONE	ENSGACG00000004420	NONE	ENSXMAG00000010091	NONE	ENSORLG00000002010	NONE	ENSONIG00000014301	NONE	ENSDARG00000068006	NONE	ENSAMXG00000009715	NONE
1628	0.859049	NONE	ENSTRUG00000009916	NONE	ENSTNIG00000005602	NONE	ENSGACG00000007788	NONE	ENSXMAG00000011094	NONE	ENSORLG00000011236	NONE	ENSONIG00000016737	NONE	ENSDARG00000007406	NONE	ENSAMXG00000011621
1629	0.207076	ENSTRUG00000018646	NONE	ENSTNIG00000015934	ENSTNIG00000005676	ENSGACG00000017057	NONE	ENSXMAG00000010100	ENSXMAG00000012498	ENSORLG00000001978	NONE	ENSONIG00000014299	ENSONIG00000012514	ENSDARG00000006491	ENSDARG00000016048	ENSAMXG00000012191	NONE
1630	0.234666	ENSTRUG00000016593	ENSTRUG00000007497	ENSTNIG00000015936	ENSTNIG00000009130	ENSGACG00000004522	ENSGACG00000017290	ENSXMAG00000010136	NONE	ENSORLG00000001942	NONE	NONE	ENSONIG00000003669	ENSDARG00000100475	ENSDARG00000030932	ENSAMXG00000007576	NONE
1631	0.726409	NONE	ENSTRUG00000006727	ENSTNIG00000013218	ENSTNIG00000013220	NONE	ENSGACG00000017786	NONE	ENSXMAG00000002251	NONE	ENSORLG00000011613	NONE	ENSONIG00000004086	NONE	ENSDARG00000075229	NONE	ENSAMXG00000021281
1632	0.734055	NONE	ENSTRUG00000006587	ENSTNIG00000013219	ENSTNIG00000013221	NONE	ENSGACG00000017783	NONE	ENSXMAG00000002254	NONE	ENSORLG00000011604	NONE	ENSONIG00000004082	NONE	ENSDARG00000069601	NONE	ENSAMXG00000021285
1633	0.833162	ENSTRUG00000016645	NONE	ENSTNIG00000015939	NONE	ENSGACG00000004583	NONE	ENSXMAG00000010188	NONE	ENSORLG00000001892	NONE	ENSONIG00000014274	NONE	ENSDARG00000052846	ENSDARG00000057992	ENSAMXG00000019649	ENSAMXG00000013517
1634	0.845262	ENSTRUG00000016667	ENSTRUG00000006361	ENSTNIG00000015942	ENSTNIG00000013223	ENSGACG00000004627	ENSGACG00000017780	ENSXMAG00000010209	ENSXMAG00000002261	ENSORLG00000001877	ENSORLG00000011567	ENSONIG00000014269	ENSONIG00000004080	ENSDARG00000067713	ENSDARG00000044246	NONE	ENSAMXG00000013566
1635	0.859102	ENSTRUG00000016672	NONE	ENSTNIG00000015943	NONE	ENSGACG00000004629	NONE	ENSXMAG00000010213	NONE	ENSORLG00000001870	NONE	ENSONIG00000014267	NONE	ENSDARG00000076735	NONE	ENSAMXG00000019699	NONE
1636	0.859185	ENSTRUG00000016694	NONE	ENSTNIG00000015945	NONE	ENSGACG00000004678	NONE	ENSXMAG00000010233	NONE	ENSORLG00000001840	NONE	ENSONIG00000014257	NONE	ENSDARG00000067656	NONE	ENSAMXG00000006684	NONE
1637	0.859186	ENSTRUG00000001615	NONE	ENSTNIG00000015957	NONE	ENSGACG00000004853	NONE	ENSXMAG00000002853	NONE	ENSORLG00000001637	NONE	ENSONIG00000016991	NONE	ENSDARG00000017571	NONE	ENSAMXG00000013897	NONE
1638	0.859185	ENSTRUG00000001936	NONE	ENSTNIG00000015958	NONE	ENSGACG00000004909	NONE	ENSXMAG00000002868	NONE	ENSORLG00000001621	NONE	ENSONIG00000016988	NONE	ENSDARG00000075126	NONE	ENSAMXG00000014025	NONE
1639	0.858729	ENSTRUG00000000588	ENSTRUG00000005484	ENSTNIG00000016709	ENSTNIG00000013225	NONE	ENSGACG00000017774	ENSXMAG00000010014	ENSXMAG00000002271	ENSORLG00000017776	ENSORLG00000011516	ENSONIG00000014048	ENSONIG00000004068	ENSDARG00000033614	ENSDARG00000044251	ENSAMXG00000019929	ENSAMXG00000013610
1640	0.859046	ENSTRUG00000000901	NONE	ENSTNIG00000016710	NONE	ENSGACG00000001853	NONE	ENSXMAG00000009998	NONE	ENSORLG00000017782	NONE	ENSONIG00000014041	NONE	ENSDARG00000060526	NONE	ENSAMXG00000020029	NONE
1641	0.847204	ENSTRUG00000001021	ENSTRUG00000004794	NONE	ENSTNIG00000013226	NONE	ENSGACG00000017757	ENSXMAG00000009937	ENSXMAG00000002277	ENSORLG00000017791	NONE	ENSONIG00000014031	ENSONIG00000004061	ENSDARG00000104118	ENSDARG00000063011	ENSAMXG00000020087	NONE
1642	0.834833	ENSTRUG00000001442	ENSTRUG00000004286	NONE	ENSTNIG00000013227	NONE	ENSGACG00000017750	ENSXMAG00000009926	ENSXMAG00000002288	ENSORLG00000017797	ENSORLG00000011427	ENSONIG00000014029	ENSONIG00000004056	ENSDARG00000017703	ENSDARG00000044253	ENSAMXG00000020133	ENSAMXG00000013650
1643	0.806159	ENSTRUG00000011458	ENSTRUG00000003458	NONE	ENSTNIG00000013228	NONE	ENSGACG00000017745	NONE	ENSXMAG00000002291	NONE	ENSORLG00000011411	NONE	ENSONIG00000004047	NONE	ENSDARG00000029832	NONE	ENSAMXG00000000275
1644	0.859009	NONE	ENSTRUG00000003018	NONE	ENSTNIG00000013229	NONE	ENSGACG00000017742	NONE	ENSXMAG00000002301	NONE	ENSORLG00000011379	NONE	ENSONIG00000004043	NONE	ENSDARG00000001906	NONE	ENSAMXG00000003617
1645	0.859118	ENSTRUG00000015075	NONE	ENSTNIG00000007057	NONE	ENSGACG00000006442	NONE	ENSXMAG00000017978	NONE	ENSORLG00000005502	NONE	ENSONIG00000005075	NONE	ENSDARG00000102610	NONE	ENSAMXG00000017180	NONE
1646	0.859186	ENSTRUG00000015048	NONE	ENSTNIG00000001714	NONE	ENSGACG00000006454	NONE	ENSXMAG00000017976	NONE	ENSORLG00000005461	NONE	ENSONIG00000005082	NONE	ENSDARG00000100986	NONE	ENSAMXG00000017221	NONE
1647	0.859186	NONE	ENSTRUG00000011369	NONE	ENSTNIG00000013231	NONE	ENSGACG00000017739	NONE	ENSXMAG00000002308	NONE	ENSORLG00000011362	NONE	ENSONIG00000004039	NONE	ENSDARG00000044688	NONE	ENSAMXG00000003615
1648	0.859148	ENSTRUG00000014998	NONE	ENSTNIG00000007058	NONE	ENSGACG00000006458	NONE	ENSXMAG00000017965	NONE	ENSORLG00000005455	NONE	ENSONIG00000005084	NONE	ENSDARG00000101244	NONE	ENSAMXG00000017236	NONE
1649	0.859148	NONE	ENSTRUG00000003556	NONE	ENSTNIG00000007911	NONE	ENSGACG00000012486	NONE	ENSXMAG00000011791	NONE	ENSORLG00000011489	NONE	ENSONIG00000015662	NONE	ENSDARG00000099397	NONE	ENSAMXG00000020842
1650	0.859186	ENSTRUG00000014681	NONE	ENSTNIG00000007061	NONE	ENSGACG00000006484	NONE	ENSXMAG00000017906	NONE	ENSORLG00000005353	NONE	ENSONIG00000005094	NONE	ENSDARG00000031388	NONE	ENSAMXG00000017402	NONE
1651	0.859185	NONE	ENSTRUG00000003785	NONE	ENSTNIG00000007912	NONE	ENSGACG00000012499	NONE	ENSXMAG00000011765	NONE	ENSORLG00000011520	NONE	ENSONIG00000015654	NONE	ENSDARG00000101465	NONE	ENSAMXG00000020816
1652	0.859108	ENSTRUG00000014424	NONE	ENSTNIG00000000076	NONE	ENSGACG00000006633	NONE	ENSXMAG00000017842	NONE	ENSORLG00000005224	NONE	ENSONIG00000005111	NONE	ENSDARG00000038467	NONE	ENSAMXG00000017453	NONE
1653	0.828065	ENSTRUG00000014379	NONE	ENSTNIG00000007065	NONE	ENSGACG00000006645	NONE	ENSXMAG00000017836	NONE	ENSORLG00000005209	NONE	ENSONIG00000005115	NONE	ENSDARG00000070471	NONE	ENSAMXG00000016665	NONE
1654	0.859108	ENSTRUG00000009451	NONE	ENSTNIG00000018911	NONE	ENSGACG00000006801	NONE	ENSXMAG00000007890	NONE	ENSORLG00000005200	NONE	ENSONIG00000016435	NONE	ENSDARG00000087921	NONE	ENSAMXG00000004946	NONE
1655	0.859185	ENSTRUG00000009642	NONE	ENSTNIG00000018910	NONE	ENSGACG00000006794	NONE	ENSXMAG00000007928	NONE	ENSORLG00000005165	NONE	ENSONIG00000016433	NONE	ENSDARG00000063268	NONE	ENSAMXG00000004940	NONE
1656	0.859186	NONE	ENSTRUG00000004264	NONE	ENSTNIG00000007914	NONE	ENSGACG00000012518	NONE	ENSXMAG00000011687	NONE	ENSORLG00000011584	NONE	ENSONIG00000015650	NONE	ENSDARG00000061436	NONE	ENSAMXG00000008110
1657	0.859186	ENSTRUG00000009849	NONE	ENSTNIG00000018908	NONE	ENSGACG00000006739	NONE	ENSXMAG00000007956	NONE	ENSORLG00000005153	NONE	ENSONIG00000016430	NONE	ENSDARG00000102615	NONE	ENSAMXG00000004929	NONE
1658	0.859186	NONE	ENSTRUG00000005091	NONE	ENSTNIG00000007915	NONE	ENSGACG00000012576	NONE	ENSXMAG00000011666	NONE	ENSORLG00000011639	NONE	ENSONIG00000015644	NONE	ENSDARG00000074908	NONE	ENSAMXG00000008158
1659	0.859062	ENSTRUG00000010055	ENSTRUG00000011221	ENSTNIG00000018907	ENSTNIG00000008654	ENSGACG00000006726	NONE	ENSXMAG00000007965	NONE	ENSORLG00000005135	NONE	ENSONIG00000016426	NONE	ENSDARG00000100397	NONE	ENSAMXG00000004926	NONE
1660	0.859185	ENSTRUG00000010764	NONE	ENSTNIG00000018906	NONE	ENSGACG00000006673	NONE	ENSXMAG00000007998	NONE	ENSORLG00000005072	NONE	ENSONIG00000016418	NONE	ENSDARG00000101199	NONE	ENSAMXG00000004924	NONE
1661	0.859108	ENSTRUG00000010921	NONE	ENSTNIG00000018905	NONE	ENSGACG00000006663	NONE	ENSXMAG00000008009	NONE	ENSORLG00000005053	NONE	ENSONIG00000016414	NONE	ENSDARG00000102349	NONE	ENSAMXG00000004922	NONE
1662	0.540498	ENSTRUG00000011000	ENSTRUG00000002460	ENSTNIG00000018903	ENSTNIG00000009869	ENSGACG00000006648	NONE	ENSXMAG00000008013	NONE	ENSORLG00000005010	ENSORLG00000003469	ENSONIG00000016412	ENSONIG00000001558	ENSDARG00000102564	NONE	ENSAMXG00000011551	ENSAMXG00000000090
1663	0.540491	ENSTRUG00000011106	ENSTRUG00000003406	ENSTNIG00000018902	ENSTNIG00000009868	ENSGACG00000006611	NONE	ENSXMAG00000008024	NONE	ENSORLG00000004995	ENSORLG00000003498	ENSONIG00000016405	ENSONIG00000001552	ENSDARG00000006420	ENSDARG00000077188	ENSAMXG00000011688	NONE
1664	0.859108	ENSTRUG00000011709	NONE	ENSTNIG00000018900	NONE	ENSGACG00000006599	NONE	ENSXMAG00000008078	NONE	ENSORLG00000004880	NONE	ENSONIG00000016389	NONE	ENSDARG00000074806	NONE	ENSAMXG00000015412	NONE
1665	0.859185	ENSTRUG00000012019	NONE	ENSTNIG00000018899	NONE	ENSGACG00000006595	NONE	ENSXMAG00000008089	NONE	ENSORLG00000004843	NONE	ENSONIG00000016388	NONE	ENSDARG00000075441	NONE	ENSAMXG00000015397	NONE
1666	0.859186	ENSTRUG00000012142	NONE	ENSTNIG00000018898	NONE	ENSGACG00000006590	NONE	ENSXMAG00000008104	NONE	ENSORLG00000004833	NONE	ENSONIG00000016382	NONE	ENSDARG00000007465	NONE	ENSAMXG00000015146	NONE
1667	0.859186	NONE	ENSTRUG00000002282	NONE	ENSTNIG00000006928	NONE	ENSGACG00000019075	NONE	ENSXMAG00000006550	NONE	ENSORLG00000008803	NONE	ENSONIG00000009878	NONE	ENSDARG00000011582	NONE	ENSAMXG00000007582
1668	0.859186	ENSTRUG00000012299	NONE	ENSTNIG00000018897	NONE	ENSGACG00000006580	NONE	ENSXMAG00000008110	NONE	ENSORLG00000004816	NONE	ENSONIG00000016376	NONE	ENSDARG00000061020	NONE	ENSAMXG00000014878	NONE
1669	0.859186	ENSTRUG00000012396	NONE	ENSTNIG00000018896	NONE	ENSGACG00000006578	NONE	ENSXMAG00000019728	NONE	ENSORLG00000004803	NONE	ENSONIG00000020665	NONE	ENSDARG00000007490	NONE	ENSAMXG00000025208	NONE
1670	0.859185	ENSTRUG00000012414	NONE	ENSTNIG00000018895	NONE	ENSGACG00000006575	NONE	ENSXMAG00000008126	NONE	ENSORLG00000004787	NONE	ENSONIG00000016370	NONE	ENSDARG00000089581	NONE	ENSAMXG00000014875	NONE
1671	0.859107	ENSTRUG00000012543	NONE	ENSTNIG00000018892	NONE	ENSGACG00000006543	NONE	ENSXMAG00000008146	NONE	ENSORLG00000004764	NONE	ENSONIG00000016363	NONE	ENSDARG00000091836	NONE	ENSAMXG00000014798	NONE
1672	0.769387	ENSTRUG00000013322	ENSTRUG00000016290	ENSTNIG00000011575	ENSTNIG00000011722	ENSGACG00000006460	ENSGACG00000008948	NONE	ENSXMAG00000008649	ENSORLG00000004690	ENSORLG00000003389	ENSONIG00000016335	ENSONIG00000000980	NONE	ENSDARG00000056767	NONE	ENSAMXG00000001361
1673	0.823209	NONE	ENSTRUG00000016340	NONE	ENSTNIG00000011723	NONE	ENSGACG00000009023	NONE	ENSXMAG00000008640	NONE	ENSORLG00000003321	NONE	ENSONIG00000000977	NONE	ENSDARG00000008105	NONE	ENSAMXG00000015090
1674	0.80249	ENSTRUG00000013572	ENSTRUG00000016346	ENSTNIG00000011574	ENSTNIG00000011724	ENSGACG00000006434	ENSGACG00000009044	ENSXMAG00000009975	ENSXMAG00000008612	ENSORLG00000004638	ENSORLG00000003312	ENSONIG00000016331	ENSONIG00000000960	NONE	ENSDARG00000010779	NONE	ENSAMXG00000015344
1675	0.801294	ENSTRUG00000009210	ENSTRUG00000016385	ENSTNIG00000010245	ENSTNIG00000011726	ENSGACG00000006378	ENSGACG00000009070	ENSXMAG00000010141	ENSXMAG00000008566	ENSORLG00000004571	ENSORLG00000003210	ENSONIG00000016322	ENSONIG00000000935	NONE	ENSDARG00000070735	NONE	ENSAMXG00000015257
1676	0.719713	ENSTRUG00000009364	ENSTRUG00000016394	ENSTNIG00000010244	ENSTNIG00000011727	ENSGACG00000006374	ENSGACG00000009096	ENSXMAG00000010149	ENSXMAG00000008551	ENSORLG00000004547	ENSORLG00000003177	ENSONIG00000016319	ENSONIG00000000925	NONE	ENSDARG00000056481	NONE	ENSAMXG00000015453
1677	0.857399	NONE	ENSTRUG00000016402	NONE	ENSTNIG00000002891	NONE	ENSGACG00000009106	NONE	ENSXMAG00000008537	NONE	ENSORLG00000003148	NONE	ENSONIG00000000923	NONE	ENSDARG00000057414	NONE	ENSAMXG00000000710
1678	0.857455	NONE	ENSTRUG00000016405	NONE	ENSTNIG00000002892	NONE	ENSGACG00000009154	NONE	ENSXMAG00000008515	NONE	ENSORLG00000003126	NONE	ENSONIG00000000921	NONE	ENSDARG00000062302	NONE	ENSAMXG00000000691
1679	0.852752	NONE	ENSTRUG00000016421	ENSTNIG00000010243	NONE	ENSGACG00000006372	ENSGACG00000009160	NONE	ENSXMAG00000019739	ENSORLG00000004521	ENSORLG00000003115	NONE	ENSONIG00000020930	NONE	ENSDARG00000008403	NONE	ENSAMXG00000025400
